X,Y,U,V
5.88996,-0.946353,-3.69991,-0.107346
5.92692,-0.945293,-3.69586,-0.105976
5.96384,-0.944248,-3.6916,-0.104508
6.00071,-0.943219,-3.68709,-0.102937
6.03753,-0.942206,-3.68235,-0.101254
6.0743,-0.941212,-3.67734,-0.0994502
6.11102,-0.940237,-3.67205,-0.0975179
6.14769,-0.939282,-3.66647,-0.095447
6.18429,-0.93835,-3.66059,-0.0932273
6.22084,-0.937442,-3.65439,-0.0908476
6.25732,-0.936559,-3.64784,-0.088296
6.29373,-0.935703,-3.64093,-0.0855597
6.33006,-0.934877,-3.63364,-0.0826246
6.36632,-0.934082,-3.62594,-0.0794757
6.4025,-0.933321,-3.61783,-0.0760971
6.43859,-0.932596,-3.60927,-0.0724712
6.47459,-0.931911,-3.60023,-0.0685794
6.5105,-0.931267,-3.59071,-0.0644016
6.54631,-0.930667,-3.58066,-0.059916
6.58201,-0.930116,-3.57006,-0.0550995
6.6176,-0.929617,-3.55888,-0.049927
6.65307,-0.929173,-3.5471,-0.0443716
6.68842,-0.928789,-3.53468,-0.0384046
6.72363,-0.928469,-3.5216,-0.0319952
6.75871,-0.928218,-3.50782,-0.0251104
6.79364,-0.928041,-3.4933,-0.0177149
6.82842,-0.927943,-3.47803,-0.00977107
6.86304,-0.927931,-3.46196,-0.00123893
6.89749,-0.92801,-3.44506,0.0079241
6.93177,-0.928188,-3.42731,0.0177632
6.96585,-0.928471,-3.40866,0.028326
6.99974,-0.928868,-3.3891,0.0396628
7.03343,-0.929386,-3.36859,0.0518266
7.0669,-0.930035,-3.34711,0.0648727
7.10015,-0.930823,-3.32464,0.0788588
7.13316,-0.931762,-3.30116,0.0938448
7.16593,-0.932861,-3.27665,0.109892
7.19844,-0.934131,-3.25112,0.127065
7.23068,-0.935586,-3.22455,0.145426
7.26265,-0.937236,-3.19696,0.165041
7.29434,-0.939096,-3.16837,0.185975
7.32572,-0.941179,-3.1388,0.20829
7.35681,-0.943499,-3.1083,0.232049
7.38758,-0.946072,-3.07691,0.257311
7.41802,-0.948914,-3.0447,0.284128
7.44814,-0.952039,-3.01176,0.312551
7.47792,-0.955465,-2.97819,0.342619
7.50736,-0.959209,-2.9441,0.374366
7.53646,-0.963287,-2.90964,0.407814
7.56521,-0.967717,-2.87497,0.442971
7.59361,-0.972515,-2.84025,0.479833
7.62167,-0.977699,-2.80568,0.518378
7.64938,-0.983285,-2.77149,0.558569
7.67676,-0.989288,-2.73789,0.600348
7.70381,-0.995724,-2.70515,0.643635
7.73055,-1.00261,-2.67352,0.68833
7.75698,-1.00995,-2.64327,0.734311
7.78313,-1.01777,-2.61468,0.781432
7.80901,-1.02606,-2.58803,0.829527
7.83464,-1.03484,-2.56359,0.878405
7.86006,-1.04412,-2.54165,0.927858
7.88529,-1.0539,-2.52246,0.977656
7.91035,-1.06418,-2.50627,1.02756
7.93528,-1.07495,-2.4933,1.0773
7.96012,-1.08621,-2.48374,1.12662
7.9849,-1.09797,-2.47778,1.17523
8.00965,-1.1102,-2.47553,1.22287
8.03442,-1.12289,-2.47712,1.26925
8.05925,-1.13603,-2.4826,1.31409
8.08417,-1.1496,-2.492,1.35713
8.10922,-1.16358,-2.5053,1.3981
8.13445,-1.17795,-2.52247,1.43677
8.15988,-1.19268,-2.54341,1.4729
8.18556,-1.20774,-2.56802,1.50629
8.21152,-1.22311,-2.59612,1.53673
8.2378,-1.23875,-2.62755,1.56408
8.26442,-1.25463,-2.6621,1.58817
8.29141,-1.27072,-2.69954,1.60889
8.31881,-1.28698,-2.73961,1.62614
8.34663,-1.30338,-2.78206,1.63984
8.3749,-1.31988,-2.8266,1.64996
8.40363,-1.33644,-2.87295,1.65646
8.43283,-1.35304,-2.92083,1.65935
8.46253,-1.36962,-2.96992,1.65865
8.49273,-1.38617,-3.01995,1.6544
8.52344,-1.40263,-3.07062,1.64666
8.55466,-1.41899,-3.12166,1.63553
8.58638,-1.4352,-3.17278,1.6211
8.61862,-1.45124,-3.22372,1.6035
8.65136,-1.46706,-3.27424,1.58287
8.6846,-1.48266,-3.32409,1.55934
8.71833,-1.49799,-3.37306,1.5331
8.75254,-1.51303,-3.42095,1.5043
8.78722,-1.52776,-3.46756,1.47313
8.82235,-1.54216,-3.51273,1.43978
8.85791,-1.5562,-3.55632,1.40445
8.89389,-1.56988,-3.59818,1.36732
8.93027,-1.58316,-3.63822,1.32861
8.96704,-1.59605,-3.67634,1.28852
9.00416,-1.60852,-3.71247,1.24723
9.04163,-1.62057,-3.74656,1.20495
9.07941,-1.63219,-3.77856,1.16187
9.11667,-1.64344,-3.72542,1.12519
9.15423,-1.65434,-3.75592,1.08931
9.19129,-1.66487,-3.70657,1.05333
9.22865,-1.6751,-3.73561,1.02358
9.26628,-1.68503,-3.76324,0.992483
9.30346,-1.69466,-3.7178,0.963493
9.3409,-1.70404,-3.74429,0.937411
9.3786,-1.71314,-3.76956,0.909948
9.41587,-1.722,-3.72744,0.886512
9.45339,-1.73063,-3.75181,0.863242
9.49051,-1.73903,-3.712,0.839183
9.52787,-1.74722,-3.73545,0.819644
9.56545,-1.75521,-3.75804,0.798612
9.60265,-1.763,-3.72069,0.778706
9.64008,-1.77061,-3.74253,0.7609
9.67771,-1.77802,-3.76359,0.741647
9.715,-1.78527,-3.72841,0.725219
9.75249,-1.79236,-3.74886,0.708793
9.78964,-1.79928,-3.71522,0.691328
9.82699,-1.80605,-3.73505,0.677488
9.86453,-1.81267,-3.75429,0.662202
9.90176,-1.81915,-3.72234,0.64753
9.93917,-1.82549,-3.74106,0.63456
9.97676,-1.8317,-3.75924,0.620203
10.014,-1.83777,-3.72881,0.607955
10.0515,-1.84373,-3.74655,0.59569
10.0891,-1.84955,-3.76379,0.582097
10.127,-1.85523,-3.78043,0.567266
10.1649,-1.86074,-3.79642,0.551293
10.203,-1.86608,-3.8117,0.534279
10.2413,-1.87124,-3.82622,0.516324
10.2797,-1.87622,-3.83994,0.497533
10.3182,-1.881,-3.85281,0.478009
10.3569,-1.88558,-3.86483,0.457854
10.3956,-1.88995,-3.87596,0.437169
